Name,Polarity,Religion,Gender
Ragnar Lothbrok,0.11532023972334036,Viking,male
Lagertha,0.12868036960760834,Viking,female
Rollo,0.0946125862815032,Viking,male
Siggy,0.13676726758024887,Viking,female
Floki,0.0996407819426213,Viking,male
Earl Haraldson,0.09376669961122445,Viking,male
Athelstan,0.04019909822356972,Christian,male
King Horik of Denmark,0.12451459294517578,Viking,male
Aslaug,0.1061496747788407,Viking,female
King Ecbert of Wessex,0.13701269272464475,Christian,male
Bjorn Ironside,0.12288759327297802,Viking,male
Kalf,0.11524719618685189,Viking,male
Harbard,0.13757086167800453,Viking,male
Emperor Charles of West Francia,0.22718867481203006,Christian,male
The Seer,0.16274872682173097,Viking,male
King Harald Finehair,0.17376315397882985,Viking,male
Halfdan the Black,0.09615593775333714,Viking,male
Ivar the Boneless,0.12144613014515668,Viking,male
Hvitserk,0.14656599561527936,Viking,male
Sigurd Snake-in-the-Eye,0.10277777777777777,Viking,male
Ubbe,0.11676706566282496,Viking,male
Aethelwulf,0.17414715493542646,Christian,male
Bishop Heahmund,0.10879068733912754,Christian,male
Oleg the Prophet,0.0,Christian,male
Erik the Red,0.238935808982684,Viking,male
Torvi,0.1157922738796829,Viking,female
Gunnhild,0.077455479017979,Viking,female
